;words;doc_occurance
580;regions;7
581;regolith;1
582;related;13
583;relatively;10
585;relief;1
587;resides;2
588;respiration;3
589;resulting;6
591;retain;2
595;retained;4
598;rings;4
599;rises;2
600;rivers;1
601;robert;10
603;rocky;2
606;rotating;2
607;satellites;3
608;scale;4
610;scatter;2
611;sciencehidden;1
612;sciences;7
613;scientific;10
614;sea;10
615;seen;7
616;shaping;1
618;showing;4
623;significantly;3
624;similar;13
625;slow;3
626;small;13
627;solar;5
643;spaced;1
644;standard;7
646;star;3
647;stars;3
648;started;5
649;starting;4
650;state;13
651;steadily;3
652;stellar;3
653;strata;1
654;structure;15
655;studying;2
656;subsequent;5
657;sufficiently;3
658;suggests;7
659;sulfur;4
660;summarised;1
661;sun;5
663;surface;6
670;surfaces;1
671;surrounding;3
673;taylor;3
681;temperatures;5
685;term;9
686;terrain;1
690;thermal;2
695;thermosphere;2
697;thick;6
699;thickness;2
700;thought;5
703;titan;3
705;trace;5
706;traces;3
708;transport;7
710;transporter;1
711;tropics;3
712;troposphere;2
714;ultraviolet;3
716;understanding;3
717;uniform;3
719;unit;5
720;units;4
722;uranus;2
726;value;6
727;vapour;1
728;variable;4
729;varies;6
731;variously;1
732;vast;7
733;velocity;1
734;venus;4
738;weather;5
739;weight;5
740;wide;5
741;wind;4
746;years;11
0;abundant;5
2;academy;8
3;accounted;3
4;accumulation;3
5;africa;3
8;age;3
11;ages;1
12;ago;5
20;alan;4
23;alexander;3
25;allowed;4
28;alongside;2
29;america;3
31;american;10
32;americas;1
33;ammonites;1
34;amniotic;1
36;amphibians;1
42;ancient;8
48;andrewsarchus;1
49;andrey;1
53;animals;9
58;antarctica;1
59;apex;2
60;appalachian;1
64;appeared;6
66;aquatic;2
67;arabian;1
68;archaean;2
69;archaic;2
70;archosaurs;1
72;areas;3
74;arid;3
75;arises;1
76;arising;1
77;armored;1
80;arthropod;1
81;arthropods;3
85;ashore;1
86;asia;4
87;atlantic;1
90;australia;2
91;australopithecus;1
93;averaged;3
94;b;13
97;baltica;1
98;basilosaurus;1
99;began;8
102;begin;4
103;beginning;4
105;beginnings;2
108;believed;8
109;better;1
110;bigger;1
112;biodiversity;3
119;biologii;1
120;biology;7
122;birds;5
126;blamed;2
127;bloom;1
128;bob;1
130;boom;1
132;boundaries;2
136;brachiosaurus;1
138;breakup;1
139;breath;2
140;bring;3
141;bringing;1
143;burrow;1
144;c;11
146;california;3
150;cambrian;3
153;came;4
155;carboniferous;1
159;carcharodontosaurus;1
160;carl;3
161;carol;1
162;caspian;1
163;category;8
165;"category
";2
167;caused;10
173;cave;1
175;celsius;2
177;cenozoic;2
182;changed;7
187;character;1
188;chart;3
189;chicxulub;1
190;chronostratigraphic;1
192;claim;3
194;clamped;1
195;class;5
196;classic;2
197;climactic;1
203;closed;3
204;closing;2
205;coal;3
206;coastal;3
210;collect;1
212;collided;1
213;colonize;1
214;comes;5
215;commission;4
221;"commons
";3
222;community;3
224;competition;2
229;conifer;2
231;conifers;2
232;conquest;2
233;conservation;3
235;considered;13
236;consisting;7
238;containing;9
240;continent;1
